decision,current_field,proposed_field,category,occurrences,comment,rationale,interfaces,sample_locations
accept,field,fields,RENAME,3,,fields (array should be plural),StreamAddonRuntimeLogCommandInput; StreamApplicationAccessLogCommandInput; StreamApplicationRuntimeLogCommandInput,StreamAddonRuntimeLogCommandInput.field; StreamApplicationAccessLogCommandInput.field; StreamApplicationRuntimeLogCommandInput.field
accept,forceHttps,shouldForceHttps,RENAME,3,,isForceHttps (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.forceHttps; CreateApplicationCommandInput.forceHttps; UpdateApplicationCommandInput.forceHttps
accept,homogeneous,isZeroDowntimeDeploymentEnabled,RENAME,3,IMPORTANT : invert polarity !!!,isHomogeneous (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.homogeneous; CreateApplicationCommandInput.homogeneous; UpdateApplicationCommandInput.homogeneous
accept,job,jobTitle,RENAME,3,,jobTitle / role,AddOrganisationMemberCommandInput; OrganisationMember; UpdateOrganisationMemberCommandInput,AddOrganisationMemberCommandInput.job; OrganisationMember.job; UpdateOrganisationMemberCommandInput.job
accept,separateBuild,hasSeparatedBuild,RENAME,3,,hasSeparateBuild (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.separateBuild; CreateApplicationCommandInput.separateBuild; UpdateApplicationCommandInput.separateBuild
accept,shutdownable,canShutdown,RENAME,3,,canShutdown (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.deployment.shutdownable; CreateApplicationCommandInput.shutdownable; UpdateApplicationCommandInput.shutdownable
accept,stickySessions,hasStickySessions,RENAME,3,,hasStickySessions (boolean needs is/has/can/should prefix),Application; CreateApplicationCommandInput; UpdateApplicationCommandInput,Application.stickySessions; CreateApplicationCommandInput.stickySessions; UpdateApplicationCommandInput.stickySessions
accept,added,wasAdded,RENAME,2,"`was` prefix: reports the outcome of the operation that just ran, not a lasting state of the resource",isAdded (boolean needs is/has/can/should prefix),SetHashKeyElementCommandOutput; AddSetKeyElementCommandOutput,SetHashKeyElementCommandOutput.added; AddSetKeyElementCommandOutput.added
accept,cleverEnterprise,isPremium,RENAME,2,,isCleverEnterprise (boolean needs is/has/can/should prefix),OrganisationSummary; Organisation,OrganisationSummary.cleverEnterprise; Organisation.cleverEnterprise
accept,debug,isDebugEnabled,RENAME,2,,isDebug (boolean needs is/has/can/should prefix),CcStreamConfig; CcRequestConfig,CcStreamConfig.debug; CcRequestConfig.debug
accept,longDesc,longDescription,RENAME,2,,longDescription (do not abbreviate description),AddonProvider; UpdateAddonProviderCommandInput,AddonProvider.longDesc; UpdateAddonProviderCommandInput.longDesc
accept,microservice,isSharedCpu,RENAME,2,,isMicroservice (boolean needs is/has/can/should prefix),ProductRuntimeFlavor; ElasticsearchServiceInfo,ProductRuntimeFlavor.microservice; ElasticsearchServiceInfo.microservice
accept,nice,cpuPriorityOffset,RENAME,2,,priority / niceLevel,ProductRuntimeFlavor; ElasticsearchServiceInfo,ProductRuntimeFlavor.nice; ElasticsearchServiceInfo.nice
accept,payDate,paidAt,RENAME,2,,paidAt (standardize to At suffix),Invoice; InvoiceSummary,Invoice.payDate; InvoiceSummary.payDate
accept,revokeTokens,shouldRevokeTokens,RENAME,2,,isRevokeTokens (boolean needs is/has/can/should prefix),ConfirmAuthMfaCommandInput; UpdateAuthPasswordCommandInput,ConfirmAuthMfaCommandInput.revokeTokens; UpdateAuthPasswordCommandInput.revokeTokens
accept,shortDesc,shortDescription,RENAME,2,,shortDescription (do not abbreviate description),AddonProvider; UpdateAddonProviderCommandInput,AddonProvider.shortDesc; UpdateAddonProviderCommandInput.shortDesc
accept,startDate,startsAt,RENAME,2,,startsAt (standardize to At suffix),Deployment; MigrationStep,Deployment.startDate; MigrationStep.startDate
accept,a,aRecords,RENAME,1,,as (array should be plural),LoadBalancer,LoadBalancer.dns.a
reject,acl,acls,RENAME,1,"acl = Access Control List. it's already a ""list"" => keep in singular",acls (array should be plural),CellarObjectDetails,CellarObjectDetails.acl
accept,admin,isAdmin,RENAME,1,,isAdmin (boolean needs is/has/can/should prefix),Profile,Profile.admin
accept,askForDeletionDate,askForDeletionAt,RENAME,1,,askForDeletionAt (standardize to At suffix),GetPulsarInfoInnerCommandOutput,GetPulsarInfoInnerCommandOutput.askForDeletionDate
reject,byDate,byAt,RENAME,1,,byAt (standardize to At suffix),GetStatusCodeDistributionCommandOutput,GetStatusCodeDistributionCommandOutput.byDate
accept,cacheHit,hasHitCache,RENAME,1,,isCacheHit (boolean needs is/has/can/should prefix),CcResponse,CcResponse.cacheHit
accept,classic,extraItems,RENAME,1,with InvoiceClassic interface renamed to InvoiceExtraItem,classics (array should be plural),Invoice,Invoice.classic
accept,coldStorageLinked,isColdStorageLinked,RENAME,1,,isColdStorageLinked (boolean needs is/has/can/should prefix),GetPulsarInfoInnerCommandOutput,GetPulsarInfoInnerCommandOutput.coldStorageLinked
accept,coldStorageMustBeProvided,isColdStorageMustBeProvided,RENAME,1,,isColdStorageMustBeProvided (boolean needs is/has/can/should prefix),GetPulsarInfoInnerCommandOutput,GetPulsarInfoInnerCommandOutput.coldStorageMustBeProvided
accept,comingSoon,isComingSoon,RENAME,1,,isComingSoon (boolean needs is/has/can/should prefix),ProductRuntime,ProductRuntime.comingSoon
accept,content,items,RENAME,1,,contents (array should be plural),CellarObjectList,CellarObjectList.content
accept,cors,isCorsEnabled,RENAME,1,,isCors (boolean needs is/has/can/should prefix),CcRequestConfig,CcRequestConfig.cors
accept,countable,countables,RENAME,1,,countables (array should be plural),PriceSystem,PriceSystem.countable
accept,csi,isCsi,RENAME,1,,isCsi (boolean needs is/has/can/should prefix),KubernetesClusterFeatures,KubernetesClusterFeatures.csi
reject,defaultEnvironment,defaultEnvironments,RENAME,1,an environment = a cohesive set of env vars; singular is intentional,defaultEnvironments (array should be plural),Application,Application.instance.defaultEnvironment
accept,dropTokens,shouldDropTokens,RENAME,1,,isDropTokens (boolean needs is/has/can/should prefix),RequestAuthPasswordResetCommandInput,RequestAuthPasswordResetCommandInput.dropTokens
accept,emailValidated,isEmailValidated,RENAME,1,,isEmailValidated (boolean needs is/has/can/should prefix),Profile,Profile.emailValidated
accept,endDate,endsAt,RENAME,1,,endsAt (standardize to At suffix),MigrationStep,MigrationStep.endDate
reject,freeCreditsAvailableNextPeriod,freeCreditsAvailableNextPeriods,RENAME,1,"its about credits, which is already plural",freeCreditsAvailableNextPeriods (array should be plural),Invoice,Invoice.freeCreditsAvailableNextPeriod
reject,freeCreditsAvailableThisPeriod,freeCreditsAvailableThisPeriods,RENAME,1,"its about credits, which is already plural",freeCreditsAvailableThisPeriods (array should be plural),Invoice,Invoice.freeCreditsAvailableThisPeriod
accept,freeCreditsEndDate,freeCreditsEndsAt,RENAME,1,,freeCreditsEndAt (standardize to At suffix),CouponUsage,CouponUsage.freeCreditsEndDate
accept,freeCreditsStartDate,freeCreditsStartsAt,RENAME,1,,freeCreditsStartAt (standardize to At suffix),CouponUsage,CouponUsage.freeCreditsStartDate
accept,hv,hypervisor,RENAME,1,,spell out (hypervisor?),NetworkGroupPeerClever,NetworkGroupPeerClever.hv
accept,lastDeploy,lastDeployedAt,RENAME,1,,lastDeployedAt (standardize to At suffix),Application,Application.lastDeploy
accept,lastUtilisationDate,lastUsedAt,RENAME,1,,lastUsedAt (standardize to At suffix),OauthToken,OauthToken.lastUtilisationDate
reject,linkedAddonsEnvironment,linkedAddonsEnvironments,RENAME,1,an environment = a cohesive set of env vars; singular is intentional,linkedAddonsEnvironments (array should be plural),GetEnvironmentCommandOutput,GetEnvironmentCommandOutput.linkedAddonsEnvironment
reject,linkedApplicationsEnvironment,linkedApplicationsEnvironments,RENAME,1,an environment = a cohesive set of env vars; singular is intentional,linkedApplicationsEnvironments (array should be plural),GetEnvironmentCommandOutput,GetEnvironmentCommandOutput.linkedApplicationsEnvironment
accept,machineLearning,isMachineLearning,RENAME,1,,isMachineLearning (boolean needs is/has/can/should prefix),ProductRuntimeFlavor,ProductRuntimeFlavor.machineLearning
accept,ngIp,networkGroupIp,RENAME,1,,networkGroup* (ng is unclear),NetworkGroupEndpointClient,NetworkGroupEndpointClient.ngIp
accept,ngTerm,networkGroupTerm,RENAME,1,,networkGroup* (ng is unclear),NetworkGroupEndpointServer,NetworkGroupEndpointServer.ngTerm
accept,openInNewTab,shouldOpenInNewTab,RENAME,1,,isOpenInNewTab (boolean needs is/has/can/should prefix),AddonProvider,AddonProvider.openInNewTab
reject,ownerId,resolveOwnerId,RENAME,1,"resolver-internal flag (types/), not a public domain field — consider excluding from the pass",isOwnerId (boolean needs is/has/can/should prefix),IdResolve,IdResolve.ownerId
accept,primary,isPrimary,RENAME,1,,isPrimary (boolean needs is/has/can/should prefix),PaymentMethod,PaymentMethod.primary
accept,private,isPrivate,RENAME,1,,isPrivate (boolean needs is/has/can/should prefix),GithubApplication,GithubApplication.private
accept,purgeObjects,shouldPurgeObjects,RENAME,1,,isPurgeObjects (boolean needs is/has/can/should prefix),DeleteCellarBucketCommandInput,DeleteCellarBucketCommandInput.purgeObjects
accept,redirectUri,redirectUrl,RENAME,1,,redirectUrl (standardize to Url),GetGithubLinkTransactionIdCommandOutput,GetGithubLinkTransactionIdCommandOutput.redirectUri
accept,requestDate,requestedAt,RENAME,1,,requestedAt (standardize to At suffix),Migration,Migration.requestDate
reject,result,results,RENAME,1,this is an exception to the rule,results (array should be plural),CmdCliSendCommandOutput,CmdCliSendCommandOutput.result
accept,runtime,runtimes,RENAME,1,,runtimes (array should be plural),PriceSystem,PriceSystem.runtime
accept,success,isSuccess,RENAME,1,,isSuccess (boolean needs is/has/can/should prefix),CmdCliSendCommandOutput,CmdCliSendCommandOutput.success
accept,supportColdStorage,isColdStorageSupported,RENAME,1,,supportsColdStorage (verb agreement),PulsarInfo,PulsarInfo.supportColdStorage
accept,tva,vat,RENAME,1,,"vat* (use English, not French TVA)",MigrationPreorderLine,MigrationPreorderLine.tva
accept,unusable,unbilledUptimes,RENAME,1,with InvoiceUnusable interface rename to InvoiceUnbilledUptime,unusables (array should be plural),Invoice,Invoice.unusable
accept,usageDate,usedAt,RENAME,1,,usedAt (standardize to At suffix),CouponUsage,CouponUsage.usageDate
accept,vendorConsumption,vendorConsumptions,RENAME,1,,vendorConsumptions (array should be plural),Invoice,Invoice.vendorConsumption
accept,verified,isVerified,RENAME,1,,isVerified (boolean needs is/has/can/should prefix),ProfileEmailAddress,ProfileEmailAddress.verified
accept,wait,shouldWait,RENAME,1,,isWait (boolean needs is/has/can/should prefix),DeleteKubernetesClusterCommandInput,DeleteKubernetesClusterCommandInput.wait
accept,env,environment,RENAME,3,,environment (spell out abbreviation),SetUserSettingCommandInput; DeleteUserSettingCommandInput; GetUserSettingCommandInput,SetUserSettingCommandInput.env; DeleteUserSettingCommandInput.env; GetUserSettingCommandInput.env
remove,wannabeInvoiceId,,DEPRECATED,1,remove this field,draftInvoiceId / pendingInvoiceId,Invoice,Invoice.wannabeInvoiceId
accept,archived,isArchived,RENAME,1,"missed by the analyzer (typed as the literal `false`, not `boolean`); widened to boolean while renaming",isArchived (boolean needs is/has/can/should prefix),ApplicationSummary,OrganisationSummary.applications.archived
accept,homogeneous,isZeroDowntimeDeploymentEnabled,RENAME,1,"IMPORTANT : invert polarity !!! same call as Application.homogeneous. missed by the analyzer (typed as the literal `false`); widened to boolean",isHomogeneous (boolean needs is/has/can/should prefix),ApplicationSummary,OrganisationSummary.applications.homogeneous
reject,available,availableVersions,RENAME,1,"holds one version string, not an array — nothing to pluralize",availables (array should be plural),JenkinsUpdates,JenkinsInfo.updates.versions.available
reject,scope,scopes,RENAME,1,"holds a single scope ('READ'), not an array",scopes (array should be plural),GetWarpTokenCommandOutput,GetWarpTokenCommandOutput.scope
reject,realId,,DEPRECATED,2,keep as is,"id, or a specific name — ""real"" is a leftover from an API-id migration",Addon; AddonSummary,Addon.realId; AddonSummary.realId
accept,VAT,vat,RENAME,4,"missed by the analyzer; the wire key stays `VAT` in the transform layer and in the create/update request bodies",vat (lowercase a leading acronym),Organisation; CreateOrganisationCompany; UpdateOrganisationCompany; MigrationPreorder,Organisation.VAT; CreateOrganisationCompany.VAT; UpdateOrganisationCompany.VAT; MigrationPreorder.VAT
accept,canSEPA,canPayWithSEPA,RENAME,2,"missed by the analyzer (it already had a `can` prefix); SEPA is a payment scheme, not a verb",canPayWithSEPA (the acronym alone does not read as a verb),Organisation; OrganisationSummary,Organisation.canSEPA; OrganisationSummary.canSEPA
